Username,Sprint,Worked,Billed,Planned,2019-10-7,2019-10-8,2019-10-9,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-1,2019-11-2,2019-11-3,2019-11-4,2019-11-5,2019-11-6
nacho,9,165.75,165.75,0,7,7,0,0,7,7,7,7,7,0,0,7,7,7,7,8,4,0,7,6,7.5,8,8.75,0,0,8,7.75,7.75,8,8,0
nacho,10,167.25,167.25,0,0,7,8,8.25,8.5,8.5,0,0,9,8,7,7,7.5,0,0,9,7,8,8,6,0,0,8,7,7.25,7,6.5,0,0,7.25,7.5
nacho,11,61.25,61.25,0,7.25,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,8,8,7.5,8
nacho,12,152.5,152.5,0,0,0,13,7,7.25,7.25,7.5,0,1.75,6.75,6.5,7,6.75,6.5,0,0,6.5,7.25,7,7.75,7.5,0,0,7.75,7.5,8,8.5,7.5,0,0,0
nacho,13,144,144,0,0,7.5,7.5,7.5,0,0,8,7.5,7.5,7,7.5,0,0,8.5,11.5,7.25,7.5,7.75,0,0,0,7.25,6.25,6.75,7.25,0,0,0,0,7.25,6.75
nacho,14,130.25,130.25,0,6,0,0,6.75,8.5,7.25,9.25,7.75,0,0,7.75,7.5,9.25,7.25,7.25,0,0,7.75,7.75,8.25,7.5,7.75,0,0,0,0,0,0,6.75,0,0
nacho,15,113.25,113.25,0,7.5,6.75,7.75,7.5,8,0,0,7.5,7.25,8.5,7.5,0,0,0,7.5,7.25,0,0,0,0,0,0,0,0,0,7.5,0,0,7.75,7.25,7.75
nacho,16,170,170,0,7,7.25,0,0,7.25,7.5,7.75,7.25,7.25,0,0,11.25,10.5,8.25,4.5,5,0,0,7.5,6.75,8,8,8,0,0,9,8,8,8,8,0
nacho,17,168.25,168.25,0,0,0,9.5,8,8,7.25,0,0,8,8,8,8,8,0,0,6.25,7.25,8.25,8.5,8.5,0,0,7.75,8.25,7.25,8.25,7.75,0,0,9.25,8.25
nacho,18,165.25,165.25,0,9,8.25,7.75,0,0,8.75,7.25,7.75,7.25,7.25,0,0,7.75,8.5,8.25,0,0,0,0,7.75,7.75,8,8,7.75,0,0,7.25,7.5,7.5,8,8
