Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-11-4,4,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Research problem on Test Enviroment with Sergio L,,stefan,0,4,,4,,,
JUSTIT-2005,Update SOAP project with 4 types Dossier-typ,2019-11-4,4,jesus,,,,,,,1.0.4.0,,,1.0.4.0,Package,Resolved,JUSTIT,,,,,isabel,0,4,,0,,,
JUSTIT-1923,View all documents together on a Aufgabe on the Module Home,2019-11-4,3,juanb,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Analysis & dev,,stefan,0,3,,0,,,
JUSTIT-2008,Transaction (Process ID 118) was deadlocked...,2019-11-4,2,gregorio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Analyze logs,,stefan,0,2,,0,,,
JUSTIT-2017,"rename column ""Gültig bis"" in the grid ""Beziehungen""",2019-11-4,1,lorenzo,,,,,,,JUSTIT,,,,Improvement,Closed,JUSTIT,,,Done,,michael,0,1,,0,,,
JUSTIT-2019,Change the Groups of the Searchs,2019-11-4,1,lorenzo,,,,,,,JUSTIT,,,,Improvement,Closed,JUSTIT,,,Change group,,stefan,0,1,,0,,,
JUSTIT-2002,"Favorit > Alle > a Geschäft is showed, but this Geschäft has not set a Favorit",2019-11-4,5.5,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Other error,,stefan,0,5.5,,0,,,
JUSTIT-2004,External Favourite Provider could not check favourite status,2019-10-31,1.5,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Analysis,,simon,0,1.5,,0,,,
JUSTIT-2002,"Favorit > Alle > a Geschäft is showed, but this Geschäft has not set a Favorit",2019-10-31,3,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Server issues. Bug searching,,stefan,0,3,,0,,,
JUSTIT-2004,External Favourite Provider could not check favourite status,2019-10-30,2.5,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Bug search,,simon,0,2.5,,0,,,
JUSTIT-2002,"Favorit > Alle > a Geschäft is showed, but this Geschäft has not set a Favorit",2019-10-30,2,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Looking into,,stefan,0,2,,0,,,
JUSTIT-2017,"rename column ""Gültig bis"" in the grid ""Beziehungen""",2019-11-4,0.5,sergio,,,,,,,JUSTIT,,,,Improvement,Closed,JUSTIT,,,Test,,michael,0,0.5,,0,,,
JUSTIT-2018,Delete Fremddokumente > right is noch checked,2019-11-4,2,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Analysis, dev and test",,stefan,0,2,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-11-4,2,ramon,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Dev,,josem,0,2,,0,,,
JUSTIT-2014,Adminclient > Failure in search Suche in Log-Tabellen,2019-11-4,1.5,ramon,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Dev,,stefan,0,1.5,,0,,,
JUSTIT-2014,Adminclient > Failure in search Suche in Log-Tabellen,2019-11-4,2,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Analysis, dev",,stefan,0,2,,0,,,
JUSTIT-2017,"rename column ""Gültig bis"" in the grid ""Beziehungen""",2019-11-4,0.5,sergio,,,,,,,JUSTIT,,,,Improvement,Closed,JUSTIT,,,Analysis,,michael,0,0.5,,0,,,
JUSTIT-2015,Number of hits in favorites searches is incongruent,2019-10-30,5,marcial,,,,,,,module-search,module-search,module-search,,Bug,Closed,JUSTIT,,,Analysis the queries and finding the differences.,,marcial,0,5,,0,,,
JUSTIT-2015,Number of hits in favorites searches is incongruent,2019-10-31,5,marcial,,,,,,,module-search,module-search,module-search,,Bug,Closed,JUSTIT,,,Development and deployment on dev.,,marcial,0,5,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-31,6,ramon,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Dev,,josem,0,6,,0,,,
JUSTIT-1914,Introduce the Grouping feature in the Search Module,2019-10-31,0.5,sergiol,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,New release for MIKA TEST,,stefan,0,0.5,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-31,1,sergio,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Gestion,,josem,0,1,,0,,,
JUSTIT-2005,Update SOAP project with 4 types Dossier-typ,2019-10-31,1,jesus,,,,,,,1.0.4.0,,,1.0.4.0,Package,Resolved,JUSTIT,,,,,isabel,0,1,,0,,,
